company_id,company_name,tenant_id,department_name,role_name,user_id,full_name,email,user_role,system_role,is_active
1,YÖRPAŞ AŞ.,2,Yonetim ve Organizasyon,?zel Stratejik Partner Rol?,137,YÖRPAŞ AŞ. ?zel Stratejik Partner Rol?,c1.zel-stratejik-partner-rol@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Yonetim ve Organizasyon,Partner Ana Y?netici,128,YÖRPAŞ AŞ. Partner Ana Y?netici,c1.partner-ana-y-netici@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Finans ve Denetim,Partner Denet?i / Finans ?zleyici,138,YÖRPAŞ AŞ. Partner Denet?i / Finans ?zleyici,c1.partner-denet-i-finans-zleyici@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Yonetim ve Organizasyon,Partner Y?neticisi,129,YÖRPAŞ AŞ. Partner Y?neticisi,c1.partner-y-neticisi@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Sat?n Alma Y?netimi,Sat?n Alma Direkt?r?,130,YÖRPAŞ AŞ. Sat?n Alma Direkt?r?,c1.sat-n-alma-direkt-r@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Stratejik Sourcing,Sat?n Alma K?demli Uzman?,134,YÖRPAŞ AŞ. Sat?n Alma K?demli Uzman?,c1.sat-n-alma-k-demli-uzman@buyerasistans.com.tr,satinalma_uzmani,tenant_member,True
1,YÖRPAŞ AŞ.,2,Sat?n Alma Y?netimi,Sat?n Alma M?d?r Yard?mc?s?,132,YÖRPAŞ AŞ. Sat?n Alma M?d?r Yard?mc?s?,c1.sat-n-alma-m-d-r-yard-mc-s@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Sat?n Alma Y?netimi,Sat?n Alma M?d?r?,131,YÖRPAŞ AŞ. Sat?n Alma M?d?r?,c1.sat-n-alma-m-d-r@buyerasistans.com.tr,satinalmaci,tenant_member,True
1,YÖRPAŞ AŞ.,2,Stratejik Sourcing,Sat?n Alma Uzman?,135,YÖRPAŞ AŞ. Sat?n Alma Uzman?,c1.sat-n-alma-uzman@buyerasistans.com.tr,satinalma_uzmani,tenant_member,True
1,YÖRPAŞ AŞ.,2,Sat?n Alma Y?netimi,Sat?n Alma Y?neticisi,133,YÖRPAŞ AŞ. Sat?n Alma Y?neticisi,c1.sat-n-alma-y-neticisi@buyerasistans.com.tr,satinalmaci,tenant_member,True
